story,amountRaised,goal,url,campaignTitle,numberContributors,endDate,currencyType
"Anthony is special. He has a huge heart and he loves his
      friends and family fiercely. I would have to have been totally
      ignorant not to notice that about him. He gives of his time and
      heart to everyone he cares about and even to strangers. He loves
      fully and completely. He believes in the goodness in everyone
      around him. (He totally balances out my cynicism). So, when
      Anthony developed Deuteranopia  in 2016, I hated that he lost a
      way to see the world he loves so much. I know that it is the holidays and that things are tight for
      everyone. We gratefully don't have a goal that is totally
      unreachable. Anything that you can do to help this amazing man
      would be incredibly appreciated. You all know him. There is a
      reason that he has been in your life. He is kind and gentle and
      more giving than anyone I have ever met. I hate that this was
      taken away from him. I hate that he didn't notice it going away.
      He talks about it often. I know what this would mean to him. And I know what it would
      mean to me to make this happen. Thank you so much for stopping by here. If you can, please
      help me to give this awesome man the gift of color again. Thank you, Barbra P.S. - If you are curious about what I am talking about, see
      below for information on the Enchroma glasses that I want to get Anthony. WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",500,of $500 goal,https://fundrazr.com/AnthonysColorfulChristmas,Anthony's Full Color Christmas,7,,U.S. Dollar
"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",550,of $550 goal,https://fundrazr.com/e1IDAe,Levi's Campaign to see the World in true colors.,6,,U.S. Dollar
"My dad has never been able to see color the way most people have and
  he has always spoken about how much it would mean to him to one day
  see the color of rocks as we do, or the color of our eyes, or the
  shade lipstick my mom is wearing.",290,of $579 goal,https://fundrazr.com/f1IjSc,Help my father see color,7,,U.S. Dollar
"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",350,of $1.1k goal,https://fundrazr.com/a1IDn3,Help papaw and I see color with Enchroma glasses,5,,U.S. Dollar
"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",450,of $400 goal,https://fundrazr.com/f1Horf,Help Josh with red-green colorblindness!,5,,U.S. Dollar
"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",100,of $700 goal,https://fundrazr.com/Popo-and-James,Help Popo and his grandson James see the colors,1,,U.S. Dollar
"Cancer is an illness that change the life of who is living
  it , and the people who is surround. Due to this pathology,
  the routine, habits and custom of the child and the family, are
  strongly altered. Chemonkey is a project for kids who are living chemotherapy process,
  during the investigation, we realized that there wasn't any
    guide that the parents could use to explain their kids what
  they were living or were about to live. This is a hard task to do,
  because they don't know how to do it and the proper words to use. The
  main aim of this project is to ensure the kid's emotional well-being,
  to improve his experience and also to prepare him, so that he can
  face, in a better way, all the process. Chemonkey works as a tool for explaining, by an optimistic way and
  with proper words, the treatment and the side effects of it. So kids
  could understand their illness. The main character of the book is a
  monkey, who already lived the treatment, it shares his experience and
  will be their new best friend, who will share all this time with them.
  It increases kid's well being and help them to say their feelings,
  what really matters during this time. (We tested the prototypes with three kids, in all of them
    increased their self esteem , some of them believed that if her monkey could do it, she could
    too. They became brave and stop cover their eyes because of the
    needles. Also, it helps to the parents, because kids reflected
    themselves in the monkey, so if the monkey wants to sleep, they are
    trying to say that they're tired, so that is really helpful for the
    parents to know the emotions of their child) Please consider giving a donation to this project, any amount will
  help. Whether you can give or not, please share this widely with
  friends on facebook, twitter, e-mail, or any other social media. The more people who see this project, more kids will be
  happy - developing physical, emotional, spiritual, mental and
  social strength in the kids who receive this kit. The monkey hangs in their neck and chest, so it protects their port.",900,of $25k goal,https://fundrazr.com/chemonkey,Chemonkey,12,,U.S. Dollar
"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions Save Save",350,of $450 goal,https://fundrazr.com/a1HN5f,Best Christmas for Aaron with Enchroma glasses,8,,U.S. Dollar
"Bob Sobo has been a servant of God and of people throughout his whole
  adult life.  He’s been an Associate Pastor, Senior Pastor and Shelter
  Manager for the San Fernando Valley Rescue Mission where he helped
  many homeless families get back on their feet.  Bob has also had a
  passion for music since boyhood, and he achieved professional status
  as a guitar player and songwriter. Bob has also been a devoted husband and father. He has dedicated his
  life to the pursuit of knowledge and wisdom; and yet that pursuit has
  never made him cold or impersonal.  Anyone who has heard Bob laugh
  knows this to be true!  His wry humor and rapier wit have the capacity
  to put any person at ease, as anyone who has spent time with him can
  attest to. Sadly, in December of 2006 when Bob was just 52, he was diagnosed
  with Parkinson’s Disease. Doctors believe that the onset was
  exacerbated by a head injury Bob incurred in a tragic traffic
  collision with a negligent driver in October of that year. This terrible accident occurred as he was heading to a musical gig. 
  Then, like now, he was accompanied by the incomparable Sandy Howell,
  who thankfully incurred only minor injuries.  As a result of that
  accident, the Parkinson’s which would most probably have laid dormant
  for the majority of Bob’s life, surfaced with a vengeance. This disease has exacted a terrible toll on Bob. The first thing that Parkinson’s took from Bob was his ability to
  make music with his guitar.   The loss of that light within the world
  has been immeasurable; anyone who has spent any time with Bob knows
  that a guitar in his hands is like a painter with fresh watercolors,
  staring at a beautiful vista… His ability to make that instrument sing
  shaped the majority of my childhood, and it was a shock to everyone
  around him when he couldn’t play anymore. But Bob persevered. The next thing that Parkinson’s took from Bob was his ability to
  drive and speak publicly. Everyone was taken by surprise at how Bob’s
  Parkinson’s advanced so quickly, and in such a degenerative manner. 
  Nonetheless, with the help of a few friends, family, and Ms. Sandy
  Howell, Bob was able to continue. Bob persevered. Despite all efforts to the contrary, things have gotten worse for
  Bob.  As a result, he now requires round-the-clock, live-in caregivers
  who assist him in all regular daily functions.  The financial
  assistance that is available to him through normal channels just is
  not at all sufficient to cover his medical and care costs.  He is
  desperate need of additional funding, and he has no means to procure
  it for himself.   He has had some additional help from a kind
  benefactor, but this major portion of his funding is going to come to
  an end, soon. So—the question becomes:  does anyone out there want to help out
  Bob?  He needs your help in order to persevere further.  He is working
  with therapists and doctors, and doing his best throughout all of
  these trials and tribulations.  Will you stand with him?  Can you? He doesn’t want to be in the position where he needs to ask for
  help.  Unfortunately, it’s gotten to the point of him actually needing
  to do so in order to survive.  I know it’s a lot to ask for in this
  day and age; we all have our issues and problems.  Trouble doesn’t
  discriminate, as I’m sure we all know. But Bob needs some help.  Please do what you can.  Let’s help Bob
  persevere further.   On his behalf, I thank each and every one of you
  for your time.  C’mon, let’s do this!","14,180",of $50k goal,https://fundrazr.com/adLI0,Please Help Bob Continue Fighting Parkinson's!,66,,U.S. Dollar
"Scott has always joked with me whenever I wear something green or
  red that he can't tell what color it is, but when we've been on hikes
  he actually doesn't see the red wildflowers in the field until I point
  them out and then he mostly takes my word for it. I'm sure all of his
  friends have had similar experiences as well but I think he would
  actually LOVE being able to see more with these glasses which is why... How can you help? I think it would be great to get him a collective gift from his
  family and close friends, a pair of Enchroma sunglasses. Enchroma has
  created glasses which enhance color vision without the compromise of
  color accuracy with people with color blindness. And I've already had
  Scott take their test to determine what KIND of color blindness he has
  and how effective the glasses might be. I can think of no better gift to give this guy for his birthday
  than some swanky sunglasses that'll let him see what kind of apple
  he's eating and a lot more of the natures beauty too. Any level of contribution helps friends! Best, Kelly Check out these reactions:",300,of $350 goal,https://fundrazr.com/scootersrum,Enchroma Sunglasses for Scott's Birthday!,13,,U.S. Dollar
"My name is Ania. I am proud to introduce you a brave, little boy Adaś
  who was born with Spinal Muscular Atrophy (SMA) Type 1. Spinal Muscular Atrophy (SMA) ( http://www.nhs.uk/conditions/Spinal-muscular-atrophy/pages/introduction.aspx )
   is a genetic disease that causes muscle weakness and progressive loss
  of movement. Type 1 is the most severe and in most cases causes severe
  respiratory problems which means that children rarely survive beyond
  two years of age. 1 in 5000 children is born with SMA around the world. Please join this SMA fundraising challenge and help Adaś to continue
  his experimental therapy treatment. Adaś Skrzypek  was born just
  before Christmas with the worst type of SMA, type 1. His parents were
  told that he would not reach his first birthday. The doctors informed
  them that there is no cure for SMA at the moment and all they could do
  was to wait for the worst, while his muscles slowly withered away
  until his respiratory system failed and cause Adaś to suffocate. But,
  despite terrifying diagnosis, Aneta and Tomasz Skrzypek, Adaś’s
  parents didn’t give up. They started a daily rehabilitation regime for
  Adaś and started searching around the world for a cure. Adaś's
  condition deteriorated quickly which meant he was no longer offered
  experimental therapies in Europe. He was now not able to swallow or
  breathe properly and was fitted with a tracheotomy tube. Adaś nearly
  died several times but he is a little fighter and was able to start an
  experimental therapy which his parents had found. They didn’t give up
  after being refused help in Europe and they searched around the world
  finally coming across a new treatment in America. The therapy involves
  an injection every 45 days and oral medications in between. Adaś was
  given the first injection just before he turned 6 months old. And a
  tiny mirracle had happened!! Adaś was able to breathe for 20 minutes
  all by himself for the first time in a very long time. He was also
  able to slightly move his head and suck a dummy. There is a realistic
  chance that the experimental therapy that Adaś is receiving will be
  successfull. But unfortunately the cost of the treatment have exceeded
  his parents financial capabilities. The cost of it is 80000 polish
  zlotych (£15,000) every 45 days, and this sum will increase once the
  doses get stronger. By helping Adaś, we are helping children around the world who have
  been or may be born with incurable SMA. We can make a difference and
  change the world. We are giving hope to all the parents who were told
  that the only thing they could do was to give up and wait for the
  worst. Please help by donating any amount in polish zlotych (PLN) or
  the equivalent in another currency and sharing it on Facebook. We can
  spread the word and be a part of something amazing!! We can save
  children all around the world. * You are most welcome to donate as much as you wish. FundRarz and
  PayPal take a fee from each donation: On a £1.00 (5 PLN) transaction, the fee charged will be £0.28 On a £5.00 (25 PLN) transaction, the fee charged will be £0.60 On a £100.00 (500 PLN) transaction, the fee charged will be £8.10 If you don't have PayPal acount you can pay by debit or credit card
  as well. You can also visit Adas's facebook site for alternative forms
  of donation: https://www.facebook.com/togetheragainstSMA/ Rdzeniowy zanik mięśni (Spinal Muscular Atrophy -SMA), to choroba
  neurodegeneracyjna, skutkująca postępującym upośledzeniem mięśni
  szkieletowych, a w ciężkich przypadkach prowadząca do śmierci. Typ 1,
  wczesnodziecięcy jest najpoważniejszy. Objawy choroby pojawiają sie
  zaraz po urodzeniu lub do szóstego miesiąca życia. Dziecko rzadko ma
  szansę przeżycia dwóch lat. 1 na 5000 dzieci na świecie rodzi sie z SMA. Adaś Skrzypek jest malutkim chłopczykiem, który urodził się 20
  grudnia 2015 roku w Tarnowie. Adaś jest chory na SMA typ 1. Jego
  rodzice, Aneta i Tomasz Skrzypek, przed Wigilią dowiedzieli się, że
  ich długo wyczekiwany synek może nie doczekać swoich pierwszych
  urodzin. Lekarze nie dawali Adasiowi żadnych szans. Jedyne co Państwo
  Skrzypek mogli zrobić, to poddać się i czekać, aż mięśnie Adasia
  zwiotczeją, a uklad oddechowy przestanie działać i Adaś sie udusi.
  Jednak rodzice Adasia z pełną determinacją podjęli poszukiwania
  eksperymentalnej terapii w Europie, która dałaby szansę Adasiowi.
  Niestety po początkowym zakwalifikowaniu Adasia do jednej z terapii,
  stan chłopca pogorszył sie na tyle, że odmówiono jego leczenia. Adaś
  był kilka razy bliski śmierci, ale jest malutkim wojownikiem i przeżył
  po to, by móc wziąść udział w eksperymentalnej terapii, którą znaleźli
  jego rodzice. Nie poddali sie kiedy odmówiono Adasiowi leczenia w
  Europie i rozpoczęli poszukiwania na szeroką skalę na całym świecie,
  aby wreszcie znaleźć nadzieję w Ameryce. Chłopczykowi zaproponowano
  terapię w trakcie, której co 45 dni dostaje zastrzyk, a w między
  czasie przyjmuje leki doustne. Adaś pierwszy zastrzyk dostał niedługo
  przed swoim 6 miesiącem życia. I stał sie maleńki cud!! Adaś był w
  stanie samodzielnie oddychać przez 20 minut, czego nie mógł robić już
  od długiego czasu. Mógł również lekko poruszać główką i trzymać
  smoczek w buźce. Nie mógł tego robić od wielu tygodni. Jest realna
  szansa, że ta eksperymentalna terapia, której Adaś jest poddawany,
  będzie zakończona sukcesem. Niestety, koszt terapii przerósł
  możliwości finansowe rodziców Adasia. Jej koszt, to 80 tysięcy złotych
  co 45 dni. Może to ulec zwiększeniu, kiedy dozy staną się mocniejsze.
  Pomagając Adasiowi, pomagamy dzieciom na całym świecie, które już są
  lub urodzą się chore na nieuleczalną chorobę rdzeniowego zaniku mięśni
  (SMA). Możemy zmienić ich świat i dać nadzieję rodzicom, którym
  powiedziano, że jedyną rzeczą, którą mogą zrobić, to poddać się i
  czekać na najgorsze. Proszę, pomóżcie Adasiowi wpłacając datki w
  złotówkach lub ich równowartość w innych walutach i udostępniając to
  na Facebooku. Możemy rozpowszechnić informację o Adasiu i być częścią
  czegoś wspaniałego!! Możemy wspólnie uratować dzieci na całym świecie!! * Jeśli są Państwo w stanie wplacić więcej niż 2 funty, to serdecznie
  dziękujemy.                                                          
                                 FundRarz i PayPal pobiera opłatę od
  każdego datku. Od £1.00 (5 PLN) jest to £0.28 Od a £5.00 (25 PLN) jest to £0.60 Od a £100.00 (500 PLN) jest to £8.10 Osoby nie posiadające konta PayPal mogą również zapłacić kartą
  debetową lub kredytową. Zapraszam również do odwiedzenia strony Adasia
  na Facebooku: https://www.facebook.com/RazemprzeciwSMA/ . Tam
  znajdą Państwo alternatywne formy płatności.","8,530",of zł500k goal,https://fundrazr.com/018wDe,SMA fundraising challenge. 15 PLN - £3 for Adaś.,89,,Polish Zlotych
"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",225,of $400 goal,https://fundrazr.com/21IB5b,Let Danny finally see colors this Christmas!,5,,U.S. Dollar
"Joe was disgnosed with Duchenne Muscular Dystrophy in 2007 aged 5. We
  had never even heard of it, but once we knew what it meant our hearts
  broke and our world came crashing down around us. You see our
  beautiful, funny, smart child was poorly and he would never get better. Most children with Duchenne lose the ability to walk by the age of
  12, then the rest of their body starts to fail. Before long they can
  no longer raise their arms to feed themsleves or to give you a hug. By
  mid teens they are usually having to use ventilators to
  breathe and using machines to help them cough. Then they get probelms
  with their heart and lungs and they become too weak to fight anymore.
  There is no treatments or cure, so we watch as our child deteriorates
  by the day, knowing there is nothing we can do about it. From day one we have had a battle with the authorities to fund
  equipment, to seek suitable accomodation, to get the right school for
  him, to find funds to get a vehicle that can take his wheelchair. Its
  has been horrendous, soul destroying and incredibly expensive. It was
  made all the worse in Feb 2015, when Joe fell and fractured his spine.
  Life drastucally changed over night as he went from being able to
  walk, in the house, to no longer being able to walk at all and now has
  to rely on us, for everything.... To dress him, to pick things up he
  has dropped, to help him go to the toilet, to scratch an itch, to
  clean him, to bathe him and some times feed him when the fatigue sets
  in and he just doesnt have the strength. He was 12 when this happened. Yet, despite his illness, Joe continues to smile and continues to be
  a rainbow in our thundery skies. He deserves to be able to live in a
   home where he feels comfortable, where he knows he is safe and can
  move freely, where there is the equipment to support his failing body
  with out being afraid his parents are going to drop him because we
  have to lift him. He deserves to be able to get out and about not be
  house bound. He deserves a happy life. He deserves the best life...
  before it's too late. Please, please help to fund for the life changing equipment Joe needs. If you fancy doing a fundraiser for HOPE FOR JOE, please do get in
  touch, that would be amazing! either through this page or anr1976@sky.com. CURRENT FUNDRASING: JANET is running...LOTS for Joe! Lets get behind her! Running
  challenge Sept 2015 to Sept 2016 https://www.facebook.com/hopeforjoechallenge?fref=ts Joe was on the news recently, please have a watch: http://bit.ly/1W4Hsea","3,828",of £10k goal,https://fundrazr.com/a12nQ1,Fundraising for life changing equipment for Joe.,127,,Pound Sterling
"WHAT IS ENCHROMA? Hey all, so apparently we live in the future and they have these
  awesome glasses that let colorblind people see color! I wanted to get
  these for my dad for Christmas and am fully prepared to pay the $350
  for them, but thought it would be selfish to give such an amazing gift
  myself, when there are so many of you out there who love and admire
  this incredible man.  I think it would be even more of an awesome
  experience to share with him a list of people he has influenced
  throughout his life who wanted to share in giving him this gift.  I
  would love so much to present him with a short note from each of you
  expressing your love and appreciation along with this present as I
  think it would mean so much to him.  For those of you who know him,
  you know what an amazing friend, husband, father, grandfather, bishop,
  coach, youth leader, missionary, home teacher and donut connoisseur
  he's been throughout his life.  Please join me in giving back and
  making this life changing experience more amazing that it could
  possibly be. Any amount will be greatly appreciated and the goal is to
  have them by Christmas. I will be covering any difference so this will
  for sure happen.  Read below for all the technical mumbo jumbo and
  watch a few reaction videos to see how much we really take seeing
  color for granted.  Thank you all in advance and hope to hear from you soon! Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",110,of $349 goal,https://fundrazr.com/71Iivf,Help give the gift of COLOR to Paul Simpson!!!,5,,U.S. Dollar
"As I’m sure many of you know, In the same way that the
      mighty T-Rex couldn’t see an object that was standing still, color
      blind people can’t see colorful objects that aren’t moving either.
      One such person affected by this condition is our very own Brice
      Brosig. Each day Brice struggles to see colorful things that
      aren’t moving. It takes him several minutes to find his car let
      alone get in. Colorblind people like Brice struggle constantly to
      complete the most basic tasks. Finding and Putting on clothes that
      aren’t monochromatic is almost impossible, and forget about
      finding his colorful tooth brush every morning. He just can’t see
      these things. It’s a terrible life to live and I thing we should
      work together to help end his struggle. Edit: I have been told that those who are colorblind can see
      things the same way us normal human beings can, just with some
      colors not registering the same way we see them. I apologize for
      my earlier description of how colorblind people live. This was
      incredibly false. WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",215,of $349 goal,https://fundrazr.com/d1IP56,Project “help Brice see colors for Christmas”,7,,U.S. Dollar
"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",385,of $800 goal,https://fundrazr.com/71G2sa,Please help us get Enchroma glasses for Nikevin!,4,,U.S. Dollar
"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",300,of $499 goal,https://fundrazr.com/71Iyv6,Birthday Glasses!!,3,,U.S. Dollar
"I need to take a mental health break from work because of the amount
  of abuse I go through to be there. To take a month off from work, I
  would just need $1200. I'd also like to acquire the means to defend
  myself from abuse before going back again. I'd also like to buy my friend's car. I need a car because without
  one, I don't eat well. I can't prepare proper meals because of
  executive dysfunction & I can't walk to food because of physical
  Disability. I'm basically trapped at my place eating barely enough all
  day while my partner is at work. My friend said they would sell me
  their car for just $800, but I haven't been able to save up enough to
  buy it. Please help me out by sharing or donating. To be okay for the month, I need $300 by the 20th & another $900
  by the 1st of December.",480,of $2k goal,https://fundrazr.com/81Ie7f,Disabled Person Needing Break From Abuse At Work,6,,U.S. Dollar
"Beteg anya vagyok, aki segítségre van szüksége a magas vérnyomás, a cukorbetegség, az asztma, a
          hasi problémák miatt, és segítséget kapok azoktól, akik
          segíthetnek a számlákban, és tartani kell a két lányomat, de
          csak akkor tudom elhagyom a gyógyszereimet , köszönöm minden segítséget tudsz egy beteg anyának","3,500",of $3.5k goal,https://fundrazr.com/61J0me,magyarország,1,,U.S. Dollar
"------------------ ENGLISH------------------ Rebeca Cañizalez is a 24 year old girl , Gas
    Engineer, with a bright and promising future, 6 months ago she was diagnosed with thyroid cancer , she lives
    in Venezuela, she is a casino salsa dancer and without a doubt is
    her passion, baile, is the cultural promoter of the program
    (Venezuela in Rueda) where the purpose is to dance and raise funds
    for the most needy children and families in the country, but
    currently it can not be disbursed correctly, because now she needs
    financial help to pay for the post treatment -operatory with (radioactive iodine) , in the current situation of
    the country it is impossible to pay for private treatment, since our
    minimum monthly salary equals 6$ and added to that is not available
    in the country, the fastest place to find it is abroad, being really
    expensive. That is why I ask for this help, to give you the
    opportunity to live a whole life that still has ahead and continue
    dancing with passion with that desire to help people even more needy
    in their mission of social struggle. We really appreciate any help
    you can give us. God bless you ------------------ ESPAÑOL ------------------ R ebeca Cañizalez es una chica de 24 años, Ingeniero
  en Gas, con un futuro prometedor y brillante, hace 6 mese fue
    diagnosticada de cáncer de tiroides , ella vive en
  Venezuela, es una bailarina de salsa de casino y sin duda es su
  pasion, el baile, es promotora cultural del programa (Venezuela en
  Rueda) donde el proposito es bailar y recaudar fondos para los niños y
  familias mas necesitadas del pais, pero actualmente no puede
  desembolverse de manera correcta, porque ahora ella necesita ayuda
  económica para pagar el tratamiento post-operatorio con (yodo
  radiactivo), en la actual situacion del pais es imposible pagar un
  tratamiento privado, ya que nuestro salario minimo mensual equivale a
  6$ y sumado a eso no se encuentra disponibles en el país, el lugar mas
  rapido para encontrarlo es en el exterior, siendo realmente costosos.
  Es por eso que que pido esta ayuda, para darle la oportunidad de vivir
  una vida entera que todavía tiene por delante y seguir bailando con
  pasion con esas ganas de ayudar a las personas aun mas necesitadas en
  su mision de lucha social. Realmente agradecemos cualquier ayuda que
  tu puedas prestarnos. Dios te bendice",120,of $5k goal,https://fundrazr.com/rebeca_ve,Rebeca fights cancer-Rebeca lucha contra el cáncer,1,,U.S. Dollar
"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",225,of $349 goal,https://fundrazr.com/e1HwH2,Help Preston overcome his colorblindness!!,5,,U.S. Dollar
